ID;Giocatore;Ruolo;Ruolo2;Squadra;cIniziale;cAttuale;cDiff
586;JANKOVIC B.;C;T;VERONA;7;7;0
653;ROMULO;C;C;VERONA;8;8;0
657;SALA;C;C;VERONA;8;8;0
679;VIVIANI;C;C;VERONA;6;6;0
681;ZACCAGNI;C;C;VERONA;1;1;0
830;FARES;A;A;VERONA;2;2;0
839;GOMEZ T.;A;T;VERONA;13;13;0
884;PAZZINI;A;A;VERONA;15;15;0
898;SILIGARDI;A;T;VERONA;10;10;0
902;TONI;A;A;VERONA;29;29;0
